id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
12,City Hotel,135,2017,June,22,1,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NULL,0,Transient,85,0,0
13,Resort Hotel,261,2017,June,26,28,2,8,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,100.2,0,0
14,Resort Hotel,146,2017,June,24,15,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient-Party,154,0,1
15,City Hotel,326,2017,August,32,8,0,2,2,2,0,BB,MAR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,199,0,0
16,City Hotel,6,2017,June,22,2,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,1,2,17,A,A,1,No Deposit,94,NULL,0,Transient,75,0,3
17,City Hotel,150,2017,June,24,17,2,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,120,0,0
18,City Hotel,240,2017,July,30,23,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0
19,City Hotel,10,2017,June,24,11,2,0,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20,NULL,0,Transient-Party,131,0,0
20,City Hotel,30,2017,August,34,23,0,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,129.5,0,1
21,City Hotel,205,2017,August,34,25,0,2,2,0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,72.42,0,1
22,City Hotel,219,2017,June,23,9,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,NULL,0,Transient,105,0,0
23,City Hotel,107,2017,August,33,15,0,4,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,125,0,1
24,City Hotel,42,2017,April,17,23,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,144,0,0
25,Resort Hotel,221,2017,April,17,28,1,2,2,0,0,BB,COL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,41.58,0,1
26,City Hotel,318,2017,July,30,26,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient-Party,155,0,3
27,City Hotel,174,2017,June,22,1,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,110,0,0
28,City Hotel,4,2017,June,26,26,1,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,17,A,A,0,No Deposit,NULL,40,0,Transient,65,0,2
29,City Hotel,373,2017,April,14,5,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0
30,City Hotel,7,2017,June,23,6,0,1,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,106.4,0,1
31,City Hotel,91,2017,April,16,20,2,3,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,135,0,0
32,City Hotel,0,2017,August,35,29,0,1,1,0,0,BB,PRT,Complementary,Corporate,0,0,0,A,A,0,No Deposit,NULL,72,0,Transient,0,0,2
33,City Hotel,146,2017,August,31,3,0,3,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,0
34,City Hotel,10,2017,May,21,24,0,2,1,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,24,0,0
35,Resort Hotel,87,2017,July,26,1,0,0,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,I,2,No Deposit,NULL,525,0,Transient-Party,0,0,0
36,City Hotel,153,2017,June,25,21,0,4,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,Non Refund,NULL,348,0,Transient,110,0,0
37,Resort Hotel,238,2017,August,34,21,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,153.75,0,1
38,City Hotel,270,2017,July,27,7,0,2,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,154.8,0,1
39,City Hotel,167,2017,July,29,17,1,2,2,1,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient-Party,152.1,0,1
40,Resort Hotel,15,2017,August,33,16,0,2,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,210,0,2
41,City Hotel,10,2017,May,21,21,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,170,0,1
42,City Hotel,207,2017,June,22,1,1,3,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,138.6,0,0
43,Resort Hotel,2,2017,April,16,20,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,530,0,Transient,72,1,0
44,City Hotel,194,2017,May,21,25,0,3,2,0,0,BB,PRT,Direct,Direct,1,1,1,D,D,0,No Deposit,NULL,NULL,0,Transient,104,0,0
45,Resort Hotel,247,2017,May,19,13,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,314,NULL,0,Transient,55.2,0,1
46,Resort Hotel,185,2017,July,28,15,4,6,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,242,0,1
47,City Hotel,57,2017,July,27,5,0,2,2,0,0,SC,CN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,120,0,1
48,Resort Hotel,302,2017,May,20,16,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,6,NULL,0,Transient,48,0,0
49,City Hotel,212,2017,June,22,2,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,20,NULL,0,Transient-Party,105,0,0
50,City Hotel,103,2017,May,18,2,0,2,3,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,171,0,0
51,City Hotel,123,2017,May,19,8,1,0,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,108,0,1
52,Resort Hotel,115,2017,June,26,25,2,2,3,0,0,BB,ESP,Direct,Direct,0,0,0,H,H,0,No Deposit,250,NULL,0,Transient,204,1,0
53,City Hotel,174,2017,June,22,1,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,110,0,0
54,City Hotel,292,2017,July,30,29,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,A,1,No Deposit,9,NULL,0,Transient,98.85,0,1
55,City Hotel,108,2017,April,17,24,1,2,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,108,0,1
56,City Hotel,7,2017,July,28,15,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,115,0,0
57,City Hotel,186,2017,May,22,30,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,19,NULL,0,Transient,130,0,0
58,Resort Hotel,3,2017,July,28,11,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,125,0,0
59,City Hotel,164,2017,May,20,15,1,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,160,0,0
60,City Hotel,226,2017,June,24,16,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,NULL,0,Transient,105,0,0
61,City Hotel,14,2017,July,30,23,2,1,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,136,0,1
62,Resort Hotel,126,2017,May,18,2,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,6,NULL,0,Transient,64.8,0,0
63,City Hotel,41,2017,April,17,26,0,1,1,0,0,BB,ROU,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,280,0,Transient-Party,110,0,0
64,City Hotel,490,2017,July,30,29,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0
65,City Hotel,12,2017,April,16,21,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,150,0,3
66,Resort Hotel,39,2017,August,34,26,2,1,2,0,0,BB,CHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,217.33,0,2
67,City Hotel,8,2017,April,17,24,1,0,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,215,1,3
68,Resort Hotel,220,2017,June,26,28,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314,NULL,0,Transient-Party,81.2,0,1
69,City Hotel,206,2017,August,31,3,1,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9,NULL,0,Transient,166.5,0,1
70,Resort Hotel,198,2017,August,32,9,2,4,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,NULL,0,Transient,258,0,0
71,City Hotel,112,2017,April,15,12,0,3,1,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,105,0,1
72,City Hotel,99,2017,May,18,6,2,6,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,139.5,0,0
73,City Hotel,163,2017,August,34,21,1,1,3,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,2
74,City Hotel,44,2017,April,16,20,0,3,1,0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,NULL,0,Transient-Party,106.67,0,0
75,City Hotel,69,2017,April,14,6,0,3,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,NULL,197,0,Transient,85,0,0
76,City Hotel,183,2017,July,29,18,0,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,120.78,0,3
77,Resort Hotel,6,2017,June,25,23,0,2,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,240,NULL,0,Transient,172,0,1
78,City Hotel,234,2017,August,34,22,0,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138,NULL,0,Transient,80.1,0,1
79,City Hotel,224,2017,August,34,26,0,1,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9,NULL,0,Transient,144,1,2
80,City Hotel,1,2017,May,19,13,0,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,200,0,2
81,City Hotel,20,2017,May,21,24,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,87,NULL,0,Transient-Party,120,0,0
82,City Hotel,30,2017,April,15,9,2,0,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,149,0,0
83,City Hotel,94,2017,June,25,21,0,4,1,0,0,BB,DOM,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,130.5,0,0
84,City Hotel,169,2017,June,23,8,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,NULL,0,Transient,170,0,0
85,City Hotel,0,2017,June,26,27,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,102,0,0
86,City Hotel,211,2017,August,33,19,2,1,2,2,0,BB,ITA,Direct,Direct,0,0,0,E,E,2,No Deposit,14,NULL,0,Transient,174.2,1,0
87,City Hotel,105,2017,May,20,19,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,160,0,0
88,Resort Hotel,163,2017,July,29,18,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,147.84,0,0
89,Resort Hotel,0,2017,July,28,15,0,1,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,1,No Deposit,NULL,NULL,0,Transient,155,0,0
90,Resort Hotel,313,2017,June,25,19,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,NULL,0,Contract,56.7,0,2
91,Resort Hotel,150,2017,August,33,16,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,NULL,0,Transient,261,0,2
92,City Hotel,240,2017,June,22,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,147.6,1,1
93,City Hotel,225,2017,April,15,15,1,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,0
94,City Hotel,219,2017,June,26,27,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,112.75,0,0
95,City Hotel,146,2017,June,23,4,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,144,0,2
96,City Hotel,129,2017,July,31,31,2,5,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,27,NULL,0,Transient,116.1,0,0
97,Resort Hotel,203,2017,May,21,25,0,3,2,0,0,BB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,NULL,223,0,Transient-Party,67,1,0
98,City Hotel,186,2017,April,15,9,2,1,2,2,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,196,0,0
99,City Hotel,103,2017,April,15,14,1,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,145.5,0,1
100,City Hotel,147,2017,July,29,16,2,2,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,0
101,City Hotel,249,2017,May,21,25,0,3,2,2,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,219,0,2
102,City Hotel,26,2017,May,21,21,2,0,2,0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,144,0,1
103,City Hotel,0,2017,June,26,28,0,2,1,1,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,NULL,NULL,0,Transient,124,0,0
104,City Hotel,138,2017,May,21,24,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,89.1,0,1
105,City Hotel,4,2017,May,21,21,2,0,1,0,0,BB,DEU,Aviation,Corporate,1,0,1,A,E,0,No Deposit,NULL,153,0,Transient,150,0,0
106,City Hotel,93,2017,May,18,4,0,2,3,0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9,NULL,0,Transient,198,0,1
107,Resort Hotel,272,2017,July,27,6,1,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6,NULL,0,Transient,135.9,0,2
108,Resort Hotel,123,2017,July,29,20,0,3,2,2,0,BB,CHE,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,NULL,0,Transient,210,0,0
109,City Hotel,65,2017,July,27,6,0,1,3,0,0,BB,COL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9,NULL,0,Transient,170,0,0
110,City Hotel,25,2017,July,30,23,2,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,129.33,0,0
111,City Hotel,38,2017,June,22,2,0,1,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,140,0,1
112,City Hotel,0,2017,June,25,22,0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,220,0,0
113,Resort Hotel,0,2017,August,35,27,1,0,2,2,0,BB,CHE,Direct,Direct,0,0,0,H,H,1,No Deposit,NULL,NULL,0,Transient,220.5,1,0
114,City Hotel,231,2017,August,35,28,1,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,NULL,0,Transient,134.58,0,0
115,Resort Hotel,125,2017,June,25,20,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,150,0,1
116,City Hotel,10,2017,June,24,11,2,1,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,91.2,0,1
117,City Hotel,102,2017,May,20,19,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,144,0,1
118,City Hotel,92,2017,June,24,15,0,1,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,89.1,0,0
119,City Hotel,179,2017,August,33,18,0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,118.8,0,0
120,City Hotel,233,2017,April,17,27,2,3,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,NULL,0,Transient,103.05,0,3
121,City Hotel,12,2017,May,18,2,2,5,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,137.14,0,0
122,City Hotel,63,2017,May,20,17,0,1,1,0,0,BB,ESP,Corporate,Corporate,1,0,1,A,E,1,No Deposit,NULL,150,0,Transient,95,0,1
123,City Hotel,66,2017,June,26,26,1,2,2,0,0,BB,AUT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,144,0,0
124,Resort Hotel,4,2017,April,16,21,2,2,1,0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,72,0,4
125,Resort Hotel,140,2017,July,29,17,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,207,0,1
126,City Hotel,212,2017,May,21,22,2,5,2,0,0,HB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,114.56,0,1
127,Resort Hotel,5,2017,July,28,15,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,171,0,1
128,City Hotel,111,2017,May,18,6,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,92.17,0,1
129,City Hotel,287,2017,July,30,26,1,4,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,179.1,0,0
130,City Hotel,25,2017,June,25,20,0,4,2,2,0,BB,POL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,250,0,0
131,Resort Hotel,3,2017,April,17,27,0,2,2,0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,138,1,0
132,City Hotel,105,2017,May,20,19,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,160,0,0
133,City Hotel,178,2017,May,20,19,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,139.5,0,0
134,City Hotel,29,2017,August,32,11,2,2,2,0,0,SC,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,0
135,City Hotel,210,2017,June,25,19,1,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,154,NULL,0,Transient,130,0,0
136,Resort Hotel,40,2017,June,23,5,1,3,2,0,0,BB,CN,Direct,Direct,0,0,0,G,G,2,No Deposit,250,NULL,0,Transient,231.5,1,0
137,City Hotel,308,2017,April,15,12,2,6,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,109.8,0,0
138,City Hotel,179,2017,May,20,14,2,2,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,116.33,0,1
139,City Hotel,243,2017,July,30,26,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0
140,City Hotel,37,2017,August,31,2,0,1,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,K,0,No Deposit,9,NULL,0,Transient,208,0,0
141,Resort Hotel,56,2017,August,35,27,2,2,2,0,0,HB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,222,0,3
142,City Hotel,49,2017,July,28,9,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,156.67,0,0
143,Resort Hotel,8,2017,May,18,6,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient,48,0,0
144,City Hotel,79,2017,June,24,12,1,3,2,1,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,28,NULL,0,Transient,111.6,0,0
145,City Hotel,5,2017,April,14,3,1,0,1,0,0,BB,BEL,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,125,0,2
146,Resort Hotel,47,2017,August,35,27,2,3,1,1,0,HB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,NULL,0,Transient,253.8,0,1
147,Resort Hotel,145,2017,June,24,17,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,314,NULL,0,Transient,100.8,0,0
148,City Hotel,331,2017,August,31,3,2,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,107.1,0,1
149,Resort Hotel,186,2017,July,29,22,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,244,0,0
150,City Hotel,29,2017,April,17,29,1,1,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,115,0,1
151,City Hotel,44,2017,April,15,9,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.67,0,0
152,City Hotel,86,2017,April,15,9,2,5,3,0,0,BB,FIN,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,180.63,0,1
153,Resort Hotel,50,2017,June,26,28,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,531,NULL,0,Transient,159.14,0,3
154,Resort Hotel,33,2017,April,14,7,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,75,0,1
155,City Hotel,104,2017,April,14,8,2,3,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,130.5,0,2
156,City Hotel,177,2017,August,35,29,0,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,135.9,0,2
157,City Hotel,100,2017,July,28,10,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138,NULL,0,Transient,80.1,0,0
158,Resort Hotel,134,2017,August,31,1,2,10,2,0,0,BB,PRT,Direct,Direct,0,0,2,F,F,0,No Deposit,250,NULL,0,Transient,223.5,1,4
159,City Hotel,246,2017,May,21,27,1,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12,NULL,0,Transient-Party,128,0,1
160,Resort Hotel,99,2017,June,22,2,2,5,2,0,0,BB,IRL,Direct,Direct,0,0,0,F,F,1,No Deposit,250,NULL,0,Transient,155,0,0
